arabic,dutch
طَبِيبٌ,arts
مُمَرِّضَةٌ,verpleegster
مُهَنْدِسٌ,ingenieur
مُعَلِّمٌ,leraar
مُعَلِّمَةٌ,lerares
طَالِبٌ,student
طَالِبَةٌ,studente
طَبَّاخٌ,kok
نَادِلٌ,ober
نَادِلَةٌ,serveerster
سَائِقٌ,chauffeur
شُرْطِيٌّ,politieagent
رَجُلُ إِطْفَاءٍ,brandweerman
مُحَامٍ,advocaat
قَاضٍ,rechter
صَحَفِيٌّ,journalist
كَاتِبٌ,schrijver
فَنَّانٌ,kunstenaar
مُوسِيقِيٌّ,muzikant
رَسَّامٌ,schilder
مُصَوِّرٌ,fotograaf
مُبَرْمِجٌ,programmeur
عَالِمٌ,wetenschapper
بَائِعٌ,verkoper
بَائِعَةٌ,verkoopster
مُحَاسِبٌ,accountant
مُدِيرٌ,manager
مُوَظَّفٌ,werknemer
عَامِلٌ,arbeider
نَجَّارٌ,timmerman
كَهْرَبَائِيٌّ,elektricien
سَبَّاكٌ,loodgieter
حَلاَّقٌ,kapper
مُزَارِعٌ,boer
