arabic,dutch
خُبْزٌ,brood
مَاءٌ,water
حَلِيبٌ,melk
قَهْوَةٌ,koffie
شَايٌ,thee
عَصِيرٌ,sap
لَحْمٌ,vlees
دَجَاجٌ,kip
سَمَكٌ,vis
أَرُزٌّ,rijst
مَكَرُونَةٌ,pasta
خُضْرَوَاتٌ,groenten
فَوَاكِهُ,fruit
تُفَّاحٌ,appel
مَوْزٌ,banaan
بُرْتُقَالٌ,sinaasappel
عِنَبٌ,druiven
بَطَاطَا,aardappel
طَمَاطِمُ,tomaat
خِيَارٌ,komkommer
جَزَرٌ,wortel
بَصَلٌ,ui
ثُومٌ,knoflook
فُلْفُلٌ,peper
مِلْحٌ,zout
سُكَّرٌ,suiker
زُبْدَةٌ,boter
جُبْنٌ,kaas
بَيْضٌ,eieren
كَعْكٌ,cake
بِسْكُوِيتٌ,koekjes
شُوكُولاَتَةٌ,chocolade
آيْس كْرِيمٌ,ijs
طَعَامٌ,eten
فُطُورٌ,ontbijt
غَدَاءٌ,lunch
عَشَاءٌ,avondeten
وَجْبَةٌ,maaltijd
بَيْتٌ,huis
غُرْفَةٌ,kamer
غُرْفَةُ نَوْمٍ,slaapkamer
حَمَّامٌ,badkamer
مَطْبَخٌ,keuken
صَالُونٌ,woonkamer
بَابٌ,deur
نَافِذَةٌ,raam
سَقْفٌ,plafond
أَرْضِيَّةٌ,vloer
جِدَارٌ,muur
سُلَّمٌ,trap
شُرْفَةٌ,balkon
حَدِيقَةٌ,tuin
سَرِيرٌ,bed
كُرْسِيٌّ,stoel
طَاوِلَةٌ,tafel
خِزَانَةٌ,kast
أَرِيكَةٌ,bank
مِرْآةٌ,spiegel
سَاعَةٌ,klok
مِصْبَاحٌ,lamp
سِجَّادَةٌ,tapijt
وِسَادَةٌ,kussen
بَطَّانِيَّةٌ,deken
تِلْفَازٌ,televisie
حَاسُوبٌ,computer
هَاتِفٌ,telefoon
ثَلاَّجَةٌ,koelkast
فُرْنٌ,oven
غَسَّالَةٌ,wasmachine
مِكْوَاةٌ,strijkijzer
